Date Opened,Time Opened,Date Closed,Time Closed,Symbol,Contract,Direction,Strike,Expiration,Contracts,Entry Price,Entry Amount,Entry Latency (ms),Entry Slippage %,Exit Price,Exit Amount,Exit Latency (ms),Exit Slippage %,Status,Result,UserName,XScore,P&L,P&L %
2026-06-01,10:17:20,,,BALL,BALL270115C00070000,call,70,Jan 15 2027,7,1.55,1085.00,7194,+10.71%,,,,,Open,Open,Theo,81,,
2026-06-02,10:22:13,,,KWEB,KWEB261218C00030000,call,30,Dec 18 2026,4,2.48,992.00,12210,+2.06%,,,,,Open,Open,Shinobi,75,,
2026-06-03,09:50:48,,,UPS,UPS270319C00110000,call,110,Mar 19 2027,1,13.00,1300.00,18999,+6.56%,,,,,Open,Open,Mthorseman,75,,
2026-06-03,12:55:51,2026-06-03,15:22:54,UBER,UBER270115C00100000,call,100,Jan 15 2027,8,2.31,1848.00,17307,+0.43%,2.31,1848.00,45507,-3.75%,Closed,XtradesExit,Theo,81,+0.00,+0.00%
2026-06-03,15:42:14,2026-06-04,11:41:45,UBER,UBER280121C00150000,call,150,Jan 21 2028,6,3.10,1860.00,5923,+3.33%,3.00,1800.00,2273,-11.76%,Closed,XtradesExit,Theo,81,-60.00,-3.23%
2026-06-04,10:29:18,2026-06-05,09:30:12,IWM,IWM260717C00290000,call,290,Jul 17 2026,3,9.20,2760.00,17838,+0.88%,8.07,2421.00,,,Closed,StoppedOut,Skep,0,-339.00,-12.28%
2026-06-04,10:43:52,2026-06-04,11:56:11,NVDA,NVDA260717C00250000,call,250,Jul 17 2026,11,2.68,2948.00,16757,+1.90%,3.10,3410.00,1162,-1.59%,Closed,XtradesExit,Mina Soliman ,87,+462.00,+15.67%
2026-06-04,11:03:40,2026-06-04,12:30:25,TSLA,TSLA260626C00450000,call,450,Jun 26 2026,3,8.50,2550.00,17594,+0.00%,8.40,2520.00,3650,-1.06%,Closed,XtradesExit,Mina Soliman ,87,-30.00,-1.18%
2026-06-04,12:29:12,2026-06-05,09:34:55,CMG,CMG270617C00040000,call,40,Jun 17 2027,15,2.04,3060.00,17553,+2.00%,2.13,3195.00,2676,-11.25%,Closed,XtradesExit,Theo,0,+135.00,+4.41%
2026-06-04,14:28:12,,,UBER,UBER270115C00100000,call,100,Jan 15 2027,12,2.53,3036.00,21703,+1.20%,,,,,Open,Open,Theo,81,,
2026-06-05,09:37:42,2026-06-05,10:02:59,META,META260626C00630000,call,630,Jun 26 2026,1,19.75,1975.00,3792,+3.95%,14.15,1415.00,,,Closed,StoppedOut,sageofsixpaths (brycat23),81,-560.00,-28.35%
2026-06-05,11:05:08,2026-06-05,13:06:48,HOOD,HOOD260702C00085000,call,85,Jul 02 2026,4,6.40,2560.00,15354,-1.54%,4.60,1840.00,,,Closed,StoppedOut,sageofsixpaths (brycat23),81,-720.00,-28.13%
2026-06-05,11:36:17,,,PLTR,PLTR260702C00139000,call,139,Jul 02 2026,4,7.05,2820.00,24678,-4.08%,,,,,Open,Open,Tim,87,,
2026-06-05,11:54:42,2026-06-05,12:02:31,QQQ,QQQ260618P00721000,put,721,Jun 18 2026,2,12.41,2482.00,16364,+0.81%,12.83,2566.00,1734,-1.16%,Closed,XtradesExit,bppoke2 ,78,+84.00,+3.38%
2026-06-05,11:57:27,2026-06-05,14:14:46,META,META260626C00630000,call,630,Jun 26 2026,1,12.85,1285.00,4011,-32.37%,7.10,710.00,,,Closed,StoppedOut,sageofsixpaths (brycat23),81,-575.00,-44.75%
2026-06-05,12:25:50,,,PAAS,PAAS270115C00070000,call,70,Jan 15 2027,9,3.30,2970.00,17483,+3.13%,,,,,Open,Open,Theo,81,,
2026-06-05,13:03:28,2026-06-05,14:26:05,QQQ,QQQ260618C00721000,call,721,Jun 18 2026,2,11.59,2318.00,5384,+0.96%,9.32,1864.00,,,Closed,StoppedOut,bppoke2 ,78,-454.00,-19.59%

,,SUMMARY
,,Total Trades,17
,,Open,6,Closed,11
,,Wins,3,Losses,7,Win Rate,27.3%
,,Total P&L,-2057.00
