Date Opened,Time Opened,Date Closed,Time Closed,Symbol,Shares,Entry Price,Entry Amount,Entry Latency (ms),Entry Slippage %,Exit Price,Exit Amount,Exit Latency (ms),Exit Slippage %,Status,Result,UserName,P&L,P&L %
2026-05-27,10:15:39,2026-05-29,15:05:59,BBAI,696,4.29,2985.84,,,5.00,3480.00,,,Closed,ForcedClose,Mike B   ,+494.16,+16.55%
2026-05-27,11:58:36,2026-05-28,11:58:05,PAAS,55,54.01,2970.55,,,55.00,3025.00,1449,-0.04%,Closed,XtradesExit,Theo,+54.45,+1.83%
2026-05-27,13:59:41,2026-05-28,08:33:00,ASTC,174,17.23,2998.02,2022,0.47%,22.30,3880.20,,,Closed,TargetHit,yoyomun,+882.18,+29.43%
2026-05-27,13:59:49,2026-05-29,15:05:29,PLAY,227,13.22,3001.94,,,13.53,3071.31,,,Closed,ForcedClose,johnjm90,+69.37,+2.31%
2026-05-27,14:00:57,2026-05-29,15:05:31,CHWY,141,21.21,2990.61,,,22.55,3179.55,,,Closed,ForcedClose,johnjm90,+188.94,+6.32%
2026-05-28,11:24:03,2026-05-29,15:05:54,MNTS,168,17.85,2998.80,,,16.78,2819.04,,,Closed,ForcedClose,Kevin Izaguirrre,-179.76,-5.99%
2026-05-28,11:46:28,2026-05-29,15:05:56,TMUS,15,189.63,2844.45,,,187.40,2811.00,,,Closed,ForcedClose,Theo,-33.45,-1.18%
2026-05-28,13:14:38,2026-05-29,15:05:58,RH,20,148.88,2977.60,,,148.42,2968.40,,,Closed,ForcedClose,Buzo,-9.20,-0.31%
2026-05-28,14:28:23,2026-05-29,09:32:20,CRM,17,176.24,2996.08,,,184.78,3141.26,1204,-0.39%,Closed,XtradesExit,Theo,+145.18,+4.85%
2026-05-29,09:37:45,2026-05-29,15:06:14,NASA,73,39.31,2869.63,,,39.36,2873.28,,,Closed,ForcedClose,Tim,+3.65,+0.13%
2026-05-29,09:43:07,2026-05-29,12:14:17,ONDS,247,12.06,2978.82,,,12.62,3117.14,1249,+0.08%,Closed,XtradesExit,Tim,+138.32,+4.64%
2026-05-29,10:33:18,2026-05-29,15:06:20,QBTS,106,28.26,2995.56,,,28.93,3066.58,,,Closed,ForcedClose,hypothesis2304,+71.02,+2.37%
2026-05-29,11:06:57,2026-05-29,15:06:22,AVGO,6,441.20,2647.20,,,436.36,2618.16,,,Closed,ForcedClose,Astylez,-29.04,-1.10%
2026-05-29,11:10:05,2026-05-29,15:06:24,SIMO,10,284.33,2843.30,,,278.23,2782.30,,,Closed,ForcedClose,Astylez,-61.00,-2.15%
2026-05-29,11:14:48,2026-05-29,15:06:26,SITM,4,709.21,2836.84,,,712.00,2848.00,,,Closed,ForcedClose,Astylez,+11.16,+0.39%
2026-05-29,11:17:56,2026-05-29,11:18:42,EEIQ,714,3.99,2850.00,2142,-4.96%,3.75,2677.50,,,Closed,StoppedOut,yoyomun,-172.50,-6.05%
2026-05-29,11:26:49,2026-05-29,15:06:27,MXL,33,91.44,3017.52,,,92.11,3039.63,,,Closed,ForcedClose,Astylez,+22.11,+0.73%
2026-05-29,13:23:34,2026-05-29,15:06:48,OKLO,43,69.29,2979.47,2442,+0.10%,66.47,2858.21,,,Closed,ForcedClose,Grae,-121.26,-4.07%
2026-05-29,14:22:45,2026-05-29,14:26:01,VCIG,285,10.50,2992.50,1900,+0.00%,9.14,2604.90,15504,-2.14%,Closed,XtradesExit,yoyomun,-387.60,-12.95%
2026-05-29,14:27:34,2026-05-29,14:42:38,SPCE,462,6.51,3007.62,2108,+0.46%,5.96,2753.52,1197,-0.67%,Closed,XtradesExit,Grae,-254.10,-8.45%
2026-05-29,14:38:29,2026-05-29,15:06:50,OLOX,342,8.76,2995.86,6812,+0.11%,8.84,3023.28,,,Closed,ForcedClose,yoyomun,+27.42,+0.92%

,,SUMMARY
,,Total Trades,21
,,Open,0,Closed,21
,,Wins,12,Losses,9,Win Rate,57.1%
,,Total P&L,+860.05
